Feature,mean,std,min,max
hrv_rmssd,0.17052317538461537,0.012537794091188593,0.1329505,0.1854689
activity_std_norm,0.03549438061538462,0.001439061196990046,0.032358363,0.03718274
eda_std_norm,0.02898335992307692,0.009431496975543883,0.017395295,0.057408806
resp_std_norm,0.023799164999999997,0.0010387567345427088,0.022474138,0.02598458
activity_mean_norm,0.009212116923076923,0.0026520322492281025,0.000525838,0.010577019
temp_mean_norm,0.0038255527923076924,0.00038808504623236574,0.0030726343,0.0046729716
hr_std_norm,0.002296308123076923,0.00019586560202756025,0.0020524657,0.0027442412
hrv_lf_hf,0.0019942384384615385,0.00014906506075330292,0.0017711866,0.0024302502
eda_mean_norm,0.0009103588784615384,0.0003413489726365535,0.0005522226,0.0017503186
hr_mean_norm,0.0006137730638461538,0.00012866803163412243,0.0004988875,0.00093558547
emg_std_norm,9.908622646153845e-05,4.6942532878303866e-05,4.054054e-05,0.00022733324
temp_std_norm,7.321234715384616e-05,3.0481184653471084e-05,3.7698046e-05,0.00014006447
resp_mean_norm,5.7745114e-05,1.5230138015410654e-05,4.2738644e-05,0.00010456919
workload,3.7693724e-05,1.4993623879099798e-05,1.7493068e-05,7.849455e-05
hrv_sdnn,1.7888603576923077e-05,8.832059972633074e-06,9.687271e-06,4.2012383e-05
hrv_pnn50,1.1590089153846153e-05,3.4791145769966107e-06,6.696167e-06,1.7885865e-05
emg_mean_norm,4.580223107692308e-06,4.841604293035926e-07,3.5286143e-06,5.509113e-06
eda_peaks_norm,2.488022930769231e-06,2.0352047395522384e-07,2.1016529e-06,2.7700332e-06
