Fold,Subject,Test_MSE
1,u_wesad_002.csv,0.01377155262021006
2,u_wesad_003.csv,0.007964907187474383
3,u_wesad_004.csv,0.008885037818694335
4,u_wesad_005.csv,0.015202148927457044
5,u_wesad_006.csv,0.007395539715711645
6,u_wesad_007.csv,0.009816320807554093
7,u_wesad_008.csv,0.014308178206477581
8,u_wesad_009.csv,0.010411051054912657
9,u_wesad_010.csv,0.009266066503068724
10,u_wesad_011.csv,0.011975366921229885
11,u_wesad_013.csv,0.008330501825445345
12,u_wesad_014.csv,0.009172436547589667
13,u_wesad_015.csv,0.011787081868436342
