Fold,Subject,MSE,RMSE
1,u_wesad_002.csv,0.01377155262021006,0.1173522586924089
2,u_wesad_003.csv,0.007964907187474383,0.08924632870585984
3,u_wesad_004.csv,0.008885037818694335,0.09426047856177229
4,u_wesad_005.csv,0.015202148927457044,0.12329699480302447
5,u_wesad_006.csv,0.007395539715711645,0.08599732388691897
6,u_wesad_007.csv,0.009816320807554093,0.09907734760051913
7,u_wesad_008.csv,0.014308178206477581,0.11961679734250362
8,u_wesad_009.csv,0.010411051054912657,0.10203455814042935
9,u_wesad_010.csv,0.009266066503068724,0.09626040984261766
10,u_wesad_011.csv,0.011975366921229885,0.10943201963424547
11,u_wesad_013.csv,0.008330501825445345,0.09127158279248446
12,u_wesad_014.csv,0.009172436547589667,0.09577283825589418
13,u_wesad_015.csv,0.011787081868436342,0.10856832810924345
