Fold,Subject,Test_MSE,Beta,N_Active,Sparsity
1,u_wesad_002.csv,0.005604955633836133,0.06508348137140274,18,0.0
2,u_wesad_003.csv,0.013667967835707324,0.0672987625002861,18,0.0
3,u_wesad_004.csv,0.006281341159982341,0.0651811957359314,18,0.0
4,u_wesad_005.csv,0.004431473473752183,0.06549478322267532,18,0.0
5,u_wesad_006.csv,0.0037706553484895267,0.0634840875864029,18,0.0
6,u_wesad_007.csv,0.004647174539665381,0.06340832263231277,18,0.0
7,u_wesad_008.csv,0.018670443920806672,0.06444625556468964,18,0.0
8,u_wesad_009.csv,0.004957730071813178,0.06476525217294693,18,0.0
9,u_wesad_010.csv,0.0038623769263116023,0.06432059407234192,18,0.0
10,u_wesad_011.csv,0.0044531534270693856,0.06445851922035217,18,0.0
11,u_wesad_013.csv,0.004704288856980081,0.06428848952054977,18,0.0
12,u_wesad_014.csv,0.006372789677698165,0.06644342839717865,18,0.0
13,u_wesad_015.csv,0.0035089999000774696,0.06583023816347122,18,0.0
14,u_wesad_016.csv,0.004664928109074633,0.0649053081870079,18,0.0
15,u_wesad_017.csv,0.004611909116647439,0.06532715260982513,18,0.0
