Fold,Subject,Ridge,XGBoost,SVR,LSTM
1,u_wesad_002,2.890009729934213e-06,9.415356003570653e-06,0.03814471432457562,0.060847679804561114
2,u_wesad_003,0.00037737102939998255,0.000105125344540178,0.032790609936545166,0.05940066895167306
3,u_wesad_004,2.65180220669709e-06,6.485830442117257e-06,0.002751175433803637,0.059696240769675286
4,u_wesad_005,2.763301029825133e-06,3.5974226539504633e-06,0.007499473694181306,0.06183330838425039
5,u_wesad_006,2.3552720657276444e-06,2.708730905496428e-06,0.005592373655414454,0.05588170296342002
6,u_wesad_007,3.1845905082780863e-06,0.00014307486141851893,0.028824500474316877,0.07200805953920894
7,u_wesad_008,3.0863112324267713e-06,7.4690514466565645e-06,0.004205074167234708,0.07210053913268087
8,u_wesad_009,3.228307990940832e-06,6.379925736584147e-06,0.005717732895518472,0.0726948547533655
9,u_wesad_010,3.0689246368370773e-06,2.2610877705691694e-05,0.006339064394258699,0.07681129733159765
10,u_wesad_011,3.2705442029817378e-06,3.6090215545874446e-06,0.00981594559464478,0.07594997890845476
11,u_wesad_013,2.984691248477443e-06,2.9441350485163208e-06,0.006345333048537549,0.07069482987076438
12,u_wesad_014,3.0383387891050395e-06,2.6571254325632344e-06,0.0041138544125896796,0.07157438230408147
13,u_wesad_015,3.2027876360661644e-06,4.856534432265736e-06,0.005260508912493261,0.07638054252966289
14,u_wesad_016,2.977437548873952e-06,7.652621946951193e-06,0.003937946671522045,0.07048073514594752
15,u_wesad_017,2.8374598907288836e-06,4.2609696937251225e-06,0.003111193356011594,0.07140219943333297
