Fold,Subject,UDE,RF,Ridge,LSTM
1,u_wesad_002.csv,0.005813659885752884,2.3084365421815213e-06,7.196479992630468e-06,2.1977823295170915e-05
2,u_wesad_003.csv,0.004267132555501541,2.1682072487201515e-06,6.621003559156927e-06,1.7843859582752737e-05
3,u_wesad_004.csv,0.004510723760545158,2.1628271835467453e-06,6.730417199197037e-06,1.8193126517343284e-05
4,u_wesad_005.csv,0.004879782665749261,2.18760905917381e-06,6.874665544126444e-06,1.728473569553899e-05
5,u_wesad_006.csv,0.0038115852650092985,1.9361191221402205e-06,6.063817256035161e-06,2.0395465114811303e-05
6,u_wesad_007.csv,0.005533185053750328,3.3706051711083196e-06,8.236663534550459e-06,3.340898620389293e-05
7,u_wesad_008.csv,0.005640305041708679,2.5624277946996217e-06,7.890144672907601e-06,2.975807515607899e-05
8,u_wesad_009.csv,0.0054123016001890985,2.8961633063412293e-06,8.275196750576046e-06,2.3286966969496943e-05
9,u_wesad_010.csv,0.005109670236595862,2.499823003640108e-06,7.841180878118315e-06,2.819561915602096e-05
10,u_wesad_011.csv,0.0052899328225428695,2.619207134418048e-06,8.237026198644407e-06,3.445551361243561e-05
11,u_wesad_013.csv,0.004963612887728633,2.47557228945182e-06,7.764488580588297e-06,1.7162395641758524e-05
12,u_wesad_014.csv,0.004929191840649844,2.5014113682662593e-06,7.77056701732623e-06,2.853747539603032e-05
13,u_wesad_015.csv,0.006238590541287269,2.6707491378290627e-06,8.285637316732973e-06,3.489126676143848e-05
14,u_wesad_016.csv,0.005126527729598835,2.432030944190829e-06,7.656782986296943e-06,2.0156747024587755e-05
15,u_wesad_017.csv,0.005239331220027766,2.3711213181473004e-06,7.291393832832044e-06,3.386527854290043e-05
