Subject,Cohort,Individual_MSE,Cohort_MSE,Naive_MSE,Degradation_Ratio
S002,Cardiac Responder,0.005020535351582112,0.00198921163963405,0.0036501143638719142,0.3962150448770754
S003,Cognitive Responder,0.012106733857686675,0.002204104754680408,0.0026323109208861426,0.18205610039746617
S004,Cardiac Responder,0.005907795358119606,0.0023537032714907066,0.003747855975726244,0.39840636461041323
S005,Cardiac Responder,0.005463962321406602,0.002783604533974937,0.004585005654234836,0.5094479738759154
S006,Cardiac Responder,0.004698898580115916,0.0021970430775170293,0.007621412368398489,0.4675655454267819
S007,Cardiac Responder,0.005281582711441568,0.003450280719131263,0.005876082183116364,0.6532664369066625
S008,Cardiac Responder,0.02026066766095672,0.0023711990732964397,0.0047909171015448,0.11703459693314323
S009,Cardiac Responder,0.004225040466555879,0.0023986279580841194,0.0035177150911090056,0.5677171561008517
S010,Cardiac Responder,0.002922663005180463,0.0018674683158779873,0.0018338734659375663,0.6389612187815948
S011,Cardiac Responder,0.003997289110948047,0.002534730535928887,0.005136075264050189,0.6341123860634936
S013,Cardiac Responder,0.004051021642195027,0.001102107842845706,0.002606439618869206,0.27205676498152054
S014,Cardiac Responder,0.007099107708829531,0.0038362066372208794,0.005956201241506759,0.5403787059674541
S015,Cardiac Responder,0.004503328872651976,0.00338672817759627,0.0062440098948887,0.7520499331424249
S016,Cardiac Responder,0.003431870055662686,0.0013320909042469655,0.002275913050127621,0.3881530718358571
S017,Cardiac Responder,0.006352092767203956,0.0056025216106099455,0.00935746657787736,0.881996188647611
