Cohort,Cohort_Label,Held_Out,Test_MSE,Beta,N_Active
Cardiac Responder,0,S002,0.0047346275532618165,0.06553516536951065,18
Cardiac Responder,0,S004,0.004145444046506392,0.06635799258947372,18
Cardiac Responder,0,S005,0.0038701803257156697,0.061092641204595566,18
Cardiac Responder,0,S006,0.004213989723211853,0.06025846302509308,18
Cardiac Responder,0,S007,0.006941168035458152,0.06492158770561218,18
Cardiac Responder,0,S008,0.004103669013905649,0.06337247043848038,18
Cardiac Responder,0,S009,0.005906338131656715,0.06451669335365295,18
Cardiac Responder,0,S010,0.002680231807365393,0.06581577658653259,18
Cardiac Responder,0,S011,0.008626140845687283,0.06341896951198578,18
Cardiac Responder,0,S013,0.0030293792127243555,0.06368081271648407,18
Cardiac Responder,0,S014,0.004157859167510954,0.06230676546692848,18
Cardiac Responder,0,S015,0.003723105755246555,0.06133830547332764,18
Cardiac Responder,0,S016,0.005135744441455851,0.06642227619886398,18
Cardiac Responder,0,S017,0.003991268790351958,0.06265603750944138,18
