fold,test_subject,test_mse
1,u_wesad_002.csv,0.005669840663661792
2,u_wesad_003.csv,0.004253557600604836
3,u_wesad_004.csv,0.004444957880623406
4,u_wesad_005.csv,0.004875793196485271
5,u_wesad_006.csv,0.0036978550082754475
6,u_wesad_007.csv,0.005531526396953268
7,u_wesad_008.csv,0.00561577314718826
8,u_wesad_009.csv,0.005396604458110232
9,u_wesad_010.csv,0.0051096708692577
10,u_wesad_011.csv,0.0052836287297395755
11,u_wesad_013.csv,0.004779139860395596
12,u_wesad_014.csv,0.004751641408698892
13,u_wesad_015.csv,0.0059595086859189905
14,u_wesad_016.csv,0.005036534624154724
15,u_wesad_017.csv,0.005166090001496385
