Subject,Beta,hrv_rmssd,hrv_sdnn,hrv_pnn50,hrv_lf_hf,heart_rate,eda_mean,eda_std,eda_peaks,resp_mean,resp_std,resp_rate,temp_mean,temp_std,activity_level,activity_std,emg_mean,emg_std,workload,hrv_rmssd_norm,hrv_sdnn_norm,hrv_pnn50_norm,hrv_lf_hf_norm,heart_rate_norm,workload_norm,eda_mean_norm,eda_std_norm,eda_peaks_norm,resp_mean_norm,resp_std_norm,resp_rate_norm,temp_mean_norm,temp_std_norm,activity_level_norm,activity_std_norm,emg_mean_norm,emg_std_norm
u_wesad_002,0.0,0.0004860811097763965,-0.0009096985428992865,0.0028019158005151566,-0.0,0.011254030456602955,0.008369131966811593,0.0,-8.817704134660725e-06,-0.0,-0.0,3.434364911713598e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
u_wesad_003,0.0,0.0005567507602213615,-0.0010797049934249342,0.002246027161216121,-0.0,0.010937343796737005,0.007757393148756334,0.0,-7.759514410917776e-06,-0.0,-0.0,2.6470974574242348e-05,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
u_wesad_004,0.0,0.0003736751086870363,-0.0007981785454830305,0.0025707822676715613,-0.0,0.011207371194404486,0.010021925211969837,0.0,-5.330150319648169e-06,-0.0,0.0,-4.150556670419871e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
u_wesad_005,0.03050639192884835,0.0003178008279875617,-0.0006943217494901344,0.0033737512748416867,-0.0,0.01160760629802862,0.007467789091970778,0.0,-5.288005785179883e-06,-0.0,-0.0,3.7572931612740455e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
u_wesad_006,0.0,0.0003581746834281854,-0.000828190447420953,0.0026936461517380206,-0.0,0.011249979899766019,0.008279923772515544,0.0,-5.390807379088388e-06,-0.0,-0.0,6.953517444211469e-07,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
u_wesad_007,0.0,0.0003462521170526164,-0.0008847374895270295,0.0026047985630268155,-0.0,0.011173755111919082,0.013449150616504778,0.0,-7.049564706951459e-06,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
u_wesad_008,0.0,0.00037887921604519675,-0.0007963195449272359,0.0025567654519142472,-0.0,0.01084169628242981,0.008794869259186945,0.0,-6.612839969863719e-06,-0.0,-0.0,2.8557753423753634e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
u_wesad_009,0.0,0.0003621973145849368,-0.0007713094468360224,0.0024218984177469,-0.0,0.011015060808176578,0.008583824816568341,0.0,-7.666454574593705e-06,-0.0,-0.0,2.7572601692508595e-05,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
u_wesad_010,0.010707177214551823,0.00044719927791133144,-0.0009400300353234177,0.002449413217861385,-0.0,0.011418026587584727,0.007925562137807457,0.0,-7.2113561020625546e-06,-0.0,-0.0,3.770528053386832e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
u_wesad_011,0.32750080613319565,0.0003246141588990797,-0.0005653622072863818,0.001690430637590516,-0.0,0.0076907358847685,0.007178821302810738,0.0,-2.7550653290062685e-06,-0.0,-0.0,2.35830377612462e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
u_wesad_013,0.0,0.0004437422867479022,-0.0009149178953258676,0.0023420891785555916,-0.0,0.010806066386460382,0.008249752045684997,0.0,-6.138596274498518e-06,-0.0,-0.0,1.2881537351837579e-05,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
u_wesad_014,0.0,0.00043816430213906203,-0.0008580620281503108,0.0023598553804022038,-0.0,0.010934062159095637,0.008526220261513921,0.0,-6.347883460962313e-06,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
u_wesad_015,0.14158988795911218,0.0003165807359116094,-0.0006840838420722422,0.002162351012654091,-0.0,0.009515192393731066,0.008683953187576305,0.0,-3.51794829297322e-06,-0.0,-0.0,2.5610714344776562e-05,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
u_wesad_016,0.0,0.0004229047105196937,-0.0008537599569301546,0.002456421326655807,-0.0,0.011109228537372453,0.007898254733679364,0.0,-7.075662057186316e-06,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
u_wesad_017,0.0,0.00026823468184679924,-0.0005927729912402304,0.0024985064798713433,-0.0,0.010750687167850388,0.007271200748513743,0.0,-6.979924095312707e-06,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
