Fold,Subject,Test_MSE,Beta,N_Active_Features,Sparsity_%
1,u_wesad_002,0.06344616791239038,0.0,5,86.11111111111111
2,u_wesad_003,0.04482859333707062,0.0,5,86.11111111111111
3,u_wesad_004,0.051130062160377625,0.0,5,86.11111111111111
4,u_wesad_005,0.041592269566867485,0.03050639192884835,5,86.11111111111111
5,u_wesad_006,0.04391688460429636,0.0,5,86.11111111111111
6,u_wesad_007,0.06648171479227409,0.0,5,86.11111111111111
7,u_wesad_008,0.04947955308494587,0.0,5,86.11111111111111
8,u_wesad_009,0.06957519407064772,0.0,5,86.11111111111111
9,u_wesad_010,0.06716303005083696,0.010707177214551823,5,86.11111111111111
10,u_wesad_011,0.017736329282884537,0.32750080613319565,5,86.11111111111111
11,u_wesad_013,0.040478589159389726,0.0,5,86.11111111111111
12,u_wesad_014,0.03211924471643278,0.0,5,86.11111111111111
13,u_wesad_015,0.04464581304073464,0.14158988795911218,5,86.11111111111111
14,u_wesad_016,0.03333271980248853,0.0,5,86.11111111111111
15,u_wesad_017,0.030427983291492107,0.0,5,86.11111111111111
