fold,alpha,beta,risk,correction,num_terms
1,0.15725670754909515,0.1699606329202652,0.9252482742553412,-0.0248*S -0.0198*W,2
10,0.12992684543132782,0.14799581468105316,0.8779029853536524,+0.0030*S +0.0020*S^2,2
11,0.1252405047416687,0.1465584635734558,0.8545371393154559,+0.0073*S +0.0566*W,2
12,0.13012251257896423,0.14840002357959747,0.8768302902518106,+0.0165*S -0.0199*W,2
13,0.14506691694259644,0.1585707813501358,0.9148343778914872,+0.0305*S -0.0170*W,2
14,0.13076025247573853,0.14769598841667175,0.8853278179704479,+0.0340*W,1
15,0.13596120476722717,0.14818795025348663,0.9174854436491848,-0.0149*S -0.0015*W,2
2,0.1317320317029953,0.14830221235752106,0.8882614854317729,0,0
3,0.1368536800146103,0.15050306916236877,0.909302192135204,-0.0157*W,1
4,0.12880301475524902,0.14513249695301056,0.8874795788662847,-0.0507*S,1
5,0.12908580899238586,0.14894315600395203,0.8666725332208453,-0.0143*S -0.0234*W,2
6,0.13366875052452087,0.15108470618724823,0.8847213538444091,0,0
7,0.13054253160953522,0.14763298630714417,0.8842308934065416,+0.0266*S +0.0553*W,2
8,0.13645116984844208,0.1550883650779724,0.8798228671568818,-0.0310*S -0.0377*W,2
9,0.12783901393413544,0.15051981806755066,0.8493111821699235,-0.0016*S -0.0044*S^2,2
